path	category	language	size_bytes	line_count	imports	symbols
Dockerfile	Other	Unknown	397	19		
telecodex.log	Other	Unknown	205480	2155		
README.md	Other	Markdown	7440	180		
CODEX_RESEARCH.md	Other	Markdown	9913	166		
package-lock.json	Other	JSON	80336	2423		
package.json	Other	JSON	675	29		
tsconfig.json	Other	JSON	364	16		
docker-compose.yml	Other	YAML	342	17		
AGENTS.md	Other	Markdown	2548	31		
vitest.config.ts	Other	Unknown	151	8		
test/voice.decode.test.ts	Other	Unknown	4095	124		
test/attachments.test.ts	Other	Unknown	4583	142		
test/topic-ux.test.ts	Other	Unknown	1362	40		
test/artifacts.test.ts	Other	Unknown	3729	100		
test/format.test.ts	Other	Unknown	3379	89		
test/codex-auth.test.ts	Other	Unknown	6466	197		
test/session-registry.test.ts	Other	Unknown	9688	324		
test/codex-state.test.ts	Other	Unknown	8725	304		
test/codex-session.test.ts	Other	Unknown	27715	872		
test/context-key.test.ts	Other	Unknown	1789	58		
test/voice.test.ts	Other	Unknown	11507	344		
test/config.test.ts	Other	Unknown	6672	195		
test/bot-ui.test.ts	Other	Unknown	4530	151		
test/error-messages.test.ts	Other	Unknown	4020	102		
dist/context-key.js	Other	Unknown	768	23		
dist/bot-ui.js	Other	Unknown	4554	131		
dist/format.js	Other	Unknown	4195	121		
dist/codex-state.js	Other	Unknown	4706	143		
dist/session-registry.js	Other	Unknown	3198	98		
dist/index.js	Other	Unknown	2710	77		
dist/config.js	Other	Unknown	5561	166		
dist/codex-auth.js	Other	Unknown	4760	150		
dist/artifacts.js	Other	Unknown	1946	54		
dist/error-messages.js	Other	Unknown	2539	70		
dist/bot.js	Other	Unknown	76595	1831		
dist/voice.js	Other	Unknown	8037	203		
dist/attachments.js	Other	Unknown	2518	69		
dist/codex-session.js	Other	Unknown	13616	329		
docs/stories/04-telegram-login-and-onboarding.md	Docs	Markdown	5060	83		
docs/stories/03-topic-native-workspace-ux.md	Docs	Markdown	4795	85		
docs/stories/01-per-context-session-runtime.md	Docs	Markdown	5745	89		
docs/stories/02-file-ingest-and-artifact-delivery.md	Docs	Markdown	5714	97		
src/error-messages.ts	Other	Unknown	2616	83		
src/codex-auth.ts	Other	Unknown	4939	177		
src/artifacts.ts	Other	Unknown	2150	79		
src/codex-session.ts	Other	Unknown	13647	425		
src/bot.ts	Other	Unknown	71670	2192		
src/voice.ts	Other	Unknown	8854	267		
src/attachments.ts	Other	Unknown	2849	103		
src/format.ts	Other	Unknown	4275	161		
src/bot-ui.ts	Other	Unknown	4498	168		
src/codex-state.ts	Other	Unknown	5684	208		
src/context-key.ts	Other	Unknown	987	30		
src/index.ts	Other	Unknown	2630	87		
src/config.ts	Other	Unknown	6144	221		
src/session-registry.ts	Other	Unknown	3756	127		
